rogue,Dot11EltCountry,RSNVersion,rates,CapabilitiesMin_MPDCU_Start_Spacing,DSSS_CCK,Max_A_MSDU,Rx_STBC,Tx_STBC,Short_GI_40Mhz,Short_GI_20Mhz,SM_Power_Save,Supported_Channel_Width,LDPC_Coding_Capability,Min_MPDCU_Start_Spacing,Max_A_MPDU_Length_Exponent,TX_MCS_Set_Defined,RX_MSC_Bitmask,Compressed_Steering_n_Beamformer_Antennas_Supported,Receive_NDP,entropy
0,0,0,8,6,0,0,0,0,0,0,3,0,0,6,3,1,1,0,0,2.1739731346044096
1,0,1,4,4,0,0,1,1,0,1,3,0,1,4,3,0,1,2,0,2.5696214864673403
0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5856815913076527
0,0,1,8,0,1,0,1,1,1,1,3,1,1,0,3,0,1,3,0,2.6686086284821604
1,1,1,4,4,0,1,1,0,0,1,3,0,1,4,3,0,1,0,0,2.715307101169286
0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.631321038123641
1,1,1,4,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.661415979466905
1,1,1,4,4,0,1,1,1,0,1,3,0,1,4,3,0,1,2,0,2.7077674622855303
0,0,0,8,6,0,0,1,1,0,1,3,0,0,6,3,1,1,0,0,2.733786017459053
1,0,1,8,5,0,0,1,0,0,1,3,0,1,5,3,0,1,0,0,2.7885032227482487
0,1,1,8,5,0,1,1,1,0,1,3,0,1,5,3,0,1,0,0,2.8320615614659808
1,1,1,4,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.8168337799633436
0,1,0,8,5,0,1,1,1,0,1,3,0,1,5,3,0,1,0,0,2.83474683481882
1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.836820862321142
0,1,1,8,5,0,1,1,1,0,1,3,0,1,5,3,0,1,0,0,2.8414251732521487
1,1,1,4,4,0,0,1,1,0,1,3,0,1,4,3,0,1,0,0,2.8291860015939796
1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.8262561536825896
0,1,1,8,5,0,0,1,1,0,1,3,0,0,5,3,0,1,0,0,2.8194179075825976
1,0,1,8,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.809777241596405
0,1,1,8,5,0,1,1,1,1,1,3,1,1,5,3,1,1,3,1,2.8293517330310545
1,0,0,8,0,0,0,0,0,0,1,3,0,0,0,3,1,1,0,0,2.805370196592674
0,1,1,6,0,0,1,1,1,1,1,3,1,1,0,3,1,1,0,0,2.806236010938673
1,0,1,8,6,0,0,1,1,0,1,3,0,0,6,3,1,1,0,0,2.814526456243316
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83544638502889
0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.839007681758259
1,1,1,8,5,0,1,0,0,0,1,3,0,1,5,3,0,1,3,1,2.843990751645675
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.839675520860329
1,1,1,8,6,0,0,0,0,0,1,3,0,1,6,3,0,1,0,0,2.8416805036622126
0,0,1,8,4,0,0,1,1,0,1,3,0,0,4,3,0,1,0,0,2.838681802490939
1,0,1,8,0,0,0,1,0,0,1,3,0,0,0,3,1,1,0,0,2.8250000954646466
1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.8242165180681464
0,0,1,8,5,0,0,1,1,0,1,3,0,1,5,3,0,1,0,0,2.826047299143298
1,1,1,8,6,0,0,0,0,0,1,3,0,1,6,3,0,1,0,0,2.825712922765395
